flight_number,scheduled_arrival,scheduled_departure,actual_departure,month,origin,destination,weather,air_traffic_control,airline_operations,airport_operations,passenger_related,external_factors,delayed
1455,2164,1826,1831,3,DEL,MAA,adverse,congested,free,free,yes,y,0
1456,1707,877,882,5,CCU,DEL,normal,congested,free,free,no,y,1
1457,1754,691,721,10,DEL,HYD,normal,congested,issue,free,no,y,0
1458,1611,2020,2050,9,HYD,PNQ,normal,congested,free,free,yes,y,1
1459,876,1428,1423,8,MAA,BOM,adverse,normal,issue,issue,no,y,0
1460,729,904,899,4,MAA,HYD,adverse,normal,free,free,yes,y,1
1461,242,1531,1536,9,DEL,CJB,normal,congested,issue,free,yes,y,0
1462,2253,954,939,2,AMD,MAA,normal,congested,free,free,yes,y,1
1463,748,2242,2237,2,CJB,PNQ,adverse,normal,issue,free,no,y,0
1464,811,238,243,6,MAA,BOM,adverse,congested,free,free,yes,y,1
1465,1782,1724,1729,8,CJB,BLR,normal,congested,free,issue,no,y,0
1466,1073,172,187,10,DEL,HYD,adverse,congested,free,free,yes,y,1
1467,2309,1025,1040,3,CCU,CJB,normal,normal,issue,free,no,y,0
1468,1545,1086,1081,2,MAA,HYD,adverse,congested,issue,free,yes,y,1
1469,553,691,676,5,PNQ,BLR,adverse,congested,issue,issue,no,y,0
1470,1243,1437,1447,12,PNQ,HYD,normal,congested,issue,issue,yes,y,1
1471,2202,822,822,11,CCU,AMD,normal,normal,free,free,yes,y,0
1472,2145,1612,1642,6,BOM,AMD,normal,normal,free,issue,no,y,1
1473,358,2207,2202,7,BLR,HYD,adverse,normal,issue,issue,no,y,0
1474,1999,1783,1793,3,DEL,BLR,normal,normal,free,issue,yes,y,1
1475,2227,320,305,6,AMD,BLR,adverse,normal,issue,free,no,y,0
1476,2265,1367,1382,6,GOI,DEL,adverse,congested,issue,free,yes,y,1
1477,1601,225,235,11,MAA,PNQ,adverse,congested,issue,free,no,y,0
1478,104,2079,2089,8,AMD,DEL,normal,congested,issue,free,no,y,1
1479,1570,1829,1839,3,BLR,CCU,adverse,congested,issue,issue,yes,y,0
1480,1658,2154,2139,2,BLR,AMD,adverse,normal,issue,free,no,y,1
1481,2184,1540,1535,9,BLR,MAA,normal,congested,free,issue,yes,y,0
1482,1513,1681,1681,5,AMD,HYD,normal,normal,issue,issue,no,y,1
1483,1998,452,447,11,CJB,MAA,adverse,congested,issue,free,yes,y,0
1484,690,953,938,3,MAA,AMD,normal,normal,free,issue,yes,y,1
1485,1077,286,271,12,PNQ,HYD,adverse,congested,issue,issue,yes,y,0
1486,1762,1123,1123,2,MAA,BLR,adverse,congested,free,issue,no,y,1
1487,462,1032,1042,1,MAA,PNQ,normal,normal,issue,issue,no,y,0
1488,612,304,304,8,GOI,CCU,normal,normal,free,free,no,y,1
1489,265,1301,1311,3,DEL,GOI,normal,normal,issue,free,no,y,0
1490,625,634,639,9,MAA,HYD,normal,normal,issue,free,yes,y,1
1491,1485,232,242,10,CCU,HYD,adverse,normal,free,issue,yes,y,0
1492,295,1316,1346,5,BLR,BOM,normal,normal,free,free,no,y,1
1493,135,1806,1816,4,HYD,BOM,adverse,congested,free,free,yes,y,0
1494,1828,1096,1126,4,HYD,MAA,normal,congested,issue,issue,yes,y,1
1495,194,1935,1945,2,CCU,BLR,normal,normal,free,free,no,y,0
1496,2013,767,777,7,BOM,DEL,normal,normal,issue,issue,yes,y,1
1497,593,851,836,1,PNQ,GOI,adverse,congested,issue,issue,yes,y,0
1498,449,898,883,7,BOM,MAA,adverse,normal,free,free,yes,y,1
1499,2031,1929,1944,3,PNQ,MAA,adverse,congested,free,issue,yes,y,0
1500,975,604,614,6,AMD,BLR,adverse,normal,issue,free,yes,y,1
1501,2127,1364,1364,7,CCU,BOM,normal,normal,free,issue,no,y,0
1502,811,685,715,3,BOM,BLR,adverse,congested,issue,issue,no,y,1
1503,1115,1980,1980,6,CCU,BLR,adverse,congested,issue,issue,yes,y,0
1504,1193,527,537,6,MAA,AMD,adverse,normal,issue,issue,yes,y,1
1505,1699,648,663,7,PNQ,DEL,normal,normal,free,issue,no,y,0
1506,2075,1566,1566,11,BOM,PNQ,adverse,normal,issue,issue,yes,y,1
1507,2140,1574,1569,2,CCU,AMD,adverse,normal,free,issue,no,y,0
1508,512,1903,1933,12,MAA,HYD,normal,congested,issue,free,yes,y,1
1509,1939,630,645,8,PNQ,BOM,normal,congested,free,issue,no,y,0
1510,2079,652,682,7,BOM,DEL,adverse,normal,free,issue,no,y,1
1511,1483,850,845,8,CJB,CCU,normal,normal,issue,free,no,y,0
1512,1923,1225,1210,10,HYD,MAA,normal,normal,free,issue,no,y,1
1513,1913,1822,1837,9,GOI,BLR,adverse,congested,free,issue,no,y,0
1514,1180,884,869,11,CJB,HYD,adverse,congested,free,free,yes,y,1
1515,2012,2110,2120,12,MAA,CCU,adverse,normal,issue,issue,no,y,0
1516,520,1399,1384,11,AMD,CJB,adverse,congested,issue,free,no,y,1
1517,2198,1030,1015,12,CCU,BOM,adverse,normal,free,issue,yes,y,0
1518,1270,2252,2247,1,MAA,BOM,normal,congested,free,free,no,y,1
1519,1068,1302,1307,7,BOM,AMD,normal,congested,issue,issue,yes,y,0
1520,467,982,967,5,DEL,HYD,adverse,congested,issue,issue,yes,y,1
1521,1484,428,433,10,HYD,BOM,normal,normal,free,issue,yes,y,0
1522,1923,157,157,7,BOM,AMD,adverse,congested,issue,free,yes,y,1
1523,2005,522,552,9,BOM,PNQ,normal,congested,free,issue,no,y,0
1524,1250,2075,2060,1,MAA,BOM,adverse,congested,issue,free,no,y,1
1525,1450,2336,2366,10,CCU,DEL,adverse,congested,issue,issue,no,y,0
1526,1363,284,299,3,GOI,BLR,adverse,normal,issue,issue,yes,y,1
1527,2263,924,954,2,MAA,GOI,normal,normal,free,issue,yes,y,0
1528,629,1342,1337,6,PNQ,CCU,adverse,congested,issue,issue,yes,y,1
1529,1006,1698,1708,2,CJB,MAA,adverse,normal,issue,free,yes,y,0
1530,1548,292,287,9,BOM,CCU,normal,normal,issue,issue,no,y,1
1531,638,1585,1600,5,BOM,GOI,adverse,congested,issue,free,no,y,0
1532,2212,1960,1955,1,PNQ,AMD,adverse,normal,issue,issue,no,y,1
1533,241,2202,2197,4,GOI,HYD,adverse,congested,free,free,no,y,0
1534,2324,642,647,7,CJB,DEL,adverse,congested,free,issue,no,y,1
1535,1341,794,779,3,CCU,CJB,normal,normal,issue,issue,no,y,0
1536,146,1595,1580,4,AMD,BOM,adverse,congested,issue,free,yes,y,1
1537,1916,2124,2154,6,AMD,CCU,adverse,congested,issue,free,yes,y,0
1538,132,995,1005,11,CCU,PNQ,normal,normal,free,issue,no,y,1
1539,1974,910,915,9,CCU,HYD,normal,congested,free,issue,no,y,0
1540,1520,1985,1970,12,AMD,PNQ,adverse,normal,free,free,yes,y,1
1541,1304,467,477,7,GOI,CCU,normal,normal,issue,issue,yes,y,0
1542,668,1432,1447,11,AMD,CJB,adverse,normal,issue,issue,no,y,1
1543,2336,432,437,1,PNQ,DEL,adverse,congested,free,issue,no,y,0
1544,178,301,296,12,PNQ,MAA,adverse,normal,issue,issue,no,y,1
1545,1980,391,391,5,HYD,BOM,normal,normal,free,free,yes,y,0
1546,1241,1793,1798,4,CJB,CCU,adverse,congested,issue,free,no,y,1
1547,362,388,418,10,BLR,GOI,normal,normal,free,issue,yes,y,0
1548,823,1484,1489,10,BOM,AMD,normal,congested,free,free,no,y,1
1549,370,1638,1648,6,AMD,DEL,normal,normal,issue,free,no,y,0
1550,396,2058,2073,12,CCU,MAA,adverse,normal,issue,free,yes,y,1
1551,612,480,475,1,CCU,BLR,adverse,congested,issue,issue,yes,y,0
1552,1806,610,640,4,HYD,PNQ,normal,normal,issue,issue,yes,y,1
1553,2280,1969,1964,10,PNQ,HYD,normal,congested,issue,free,yes,y,0
1554,1678,1914,1919,12,CCU,CJB,adverse,normal,issue,issue,no,y,1
1555,2294,2182,2212,12,HYD,DEL,normal,normal,free,free,no,y,0
1556,1868,1464,1449,3,HYD,AMD,adverse,normal,issue,free,no,y,1
1557,1654,1440,1440,2,HYD,DEL,adverse,normal,free,issue,no,y,0
1558,1994,404,404,7,HYD,GOI,adverse,congested,issue,issue,no,y,1
1559,263,526,526,2,AMD,MAA,normal,normal,issue,free,no,y,0
1560,585,1004,989,7,BOM,HYD,normal,normal,issue,issue,no,y,1
1561,468,1942,1942,4,BOM,BLR,normal,normal,issue,issue,no,y,0
1562,2090,2158,2188,1,PNQ,MAA,adverse,normal,free,free,no,y,1
1563,307,1813,1813,10,CJB,MAA,normal,congested,free,free,yes,y,0
1564,1311,2347,2332,7,BLR,HYD,normal,congested,issue,issue,yes,y,1
1565,616,1020,1015,7,DEL,CCU,adverse,normal,free,issue,yes,y,0
1566,1549,1968,1978,4,CJB,MAA,adverse,congested,issue,free,no,y,1
1567,2002,410,415,3,GOI,MAA,normal,normal,issue,free,yes,y,0
1568,1946,1773,1788,8,AMD,BLR,adverse,normal,free,free,yes,y,1
1569,423,1341,1341,3,DEL,CJB,adverse,normal,issue,free,no,y,0
1570,1275,2248,2263,12,PNQ,MAA,adverse,congested,free,free,yes,y,1
1571,1677,444,444,9,CCU,BLR,adverse,congested,free,free,no,y,0
1572,1477,747,762,7,BOM,DEL,adverse,normal,issue,issue,no,y,1
1573,1234,316,331,11,GOI,CJB,adverse,normal,free,issue,no,y,0
1574,1916,1226,1256,12,BLR,BOM,adverse,normal,issue,free,yes,y,1
1575,904,1543,1548,2,HYD,GOI,normal,congested,issue,issue,yes,y,0
1576,1168,159,144,4,GOI,PNQ,normal,congested,free,free,yes,y,1
1577,955,1119,1104,5,DEL,MAA,normal,congested,issue,free,yes,y,0
1578,2043,2108,2123,11,CCU,PNQ,adverse,congested,issue,free,yes,y,1
1579,864,1751,1761,2,PNQ,CCU,normal,congested,issue,issue,yes,y,0
1580,1544,2332,2317,11,CCU,CJB,adverse,normal,free,free,yes,y,1
1581,1020,474,489,6,AMD,BOM,normal,normal,free,issue,no,y,0
1582,930,243,248,7,HYD,BOM,normal,congested,issue,issue,yes,y,1
1583,573,1342,1347,3,HYD,MAA,adverse,congested,issue,issue,yes,y,0
1584,120,1851,1856,7,DEL,GOI,normal,congested,issue,free,no,y,1
1585,1840,1945,1950,4,CCU,AMD,adverse,normal,issue,issue,yes,y,0
1586,105,2190,2205,6,CJB,HYD,adverse,congested,issue,issue,yes,y,1
1587,118,557,552,7,HYD,PNQ,normal,congested,free,issue,no,y,0
1588,1038,1727,1742,6,GOI,BLR,adverse,congested,issue,free,no,y,1
1589,1532,1166,1151,11,CJB,PNQ,adverse,congested,issue,free,yes,y,0
1590,2272,605,615,3,AMD,HYD,adverse,normal,free,free,no,y,1
1591,198,1702,1712,12,HYD,PNQ,adverse,normal,issue,issue,yes,y,0
1592,2001,206,216,5,DEL,AMD,adverse,congested,free,issue,yes,y,1
1593,839,1692,1697,4,AMD,MAA,normal,congested,issue,issue,no,y,0
1594,259,743,743,7,BOM,GOI,normal,normal,issue,free,no,y,1
1595,682,1921,1916,9,HYD,PNQ,adverse,normal,issue,issue,no,y,0
1596,2298,1942,1947,3,GOI,HYD,adverse,normal,free,issue,no,y,1
1597,382,555,585,6,BOM,BLR,adverse,congested,issue,issue,yes,y,0
1598,580,518,528,7,BOM,PNQ,normal,congested,free,issue,yes,y,1
1599,919,1568,1578,1,GOI,HYD,normal,normal,free,issue,yes,y,0
1600,1697,557,542,11,DEL,GOI,normal,congested,issue,free,no,y,1
1601,406,169,184,5,GOI,CJB,adverse,normal,free,issue,no,y,0
1602,548,1942,1942,11,MAA,CJB,adverse,normal,free,issue,no,y,1
1603,916,1761,1791,6,AMD,PNQ,adverse,congested,free,free,no,y,0
1604,428,1461,1456,3,CJB,AMD,adverse,normal,free,free,no,y,1
1605,1095,1038,1038,1,PNQ,BLR,adverse,congested,free,issue,yes,y,0
1606,2216,2007,2007,2,AMD,BLR,normal,congested,issue,issue,no,y,1
1607,2279,2205,2235,5,CJB,BOM,adverse,congested,issue,issue,yes,y,0
1608,1129,505,520,12,CJB,BLR,normal,normal,issue,issue,no,y,1
1609,1703,570,600,6,AMD,CJB,normal,congested,issue,free,no,y,0
1610,247,240,245,10,BOM,MAA,adverse,congested,issue,issue,no,y,1
1611,1109,865,870,3,PNQ,GOI,adverse,normal,free,free,yes,y,0
1612,1922,1368,1353,6,DEL,GOI,normal,congested,issue,issue,no,y,1
1613,1089,932,937,9,BLR,DEL,normal,normal,free,free,yes,y,0
1614,1374,1296,1306,5,BOM,PNQ,normal,normal,free,issue,no,y,1
1615,1393,1102,1132,2,BLR,CCU,adverse,congested,issue,free,no,y,0
1616,188,585,600,7,CCU,BLR,adverse,congested,issue,free,yes,y,1
1617,529,721,751,5,AMD,HYD,adverse,congested,free,free,yes,y,0
1618,1322,1802,1802,12,DEL,BLR,adverse,congested,issue,issue,no,y,1
1619,2350,516,531,6,AMD,HYD,adverse,normal,issue,free,yes,y,0
1620,1077,1656,1671,3,BLR,PNQ,normal,normal,free,free,no,y,1
1621,1567,140,170,7,CCU,HYD,normal,normal,free,issue,yes,y,0
1622,293,1829,1829,8,CJB,DEL,adverse,normal,free,free,no,y,1
1623,750,2102,2132,11,PNQ,GOI,normal,congested,issue,issue,yes,y,0
1624,298,649,679,2,BLR,GOI,adverse,congested,issue,issue,yes,y,1
1625,891,2254,2264,1,AMD,MAA,adverse,congested,issue,free,no,y,0
1626,1571,1302,1302,8,AMD,GOI,adverse,congested,issue,free,no,y,1
1627,680,1450,1450,1,MAA,HYD,normal,normal,issue,free,no,y,0
1628,1926,1138,1123,11,BLR,PNQ,adverse,congested,issue,issue,yes,y,1
1629,999,2064,2074,3,DEL,AMD,normal,normal,free,free,yes,y,0
1630,638,520,550,5,CCU,GOI,normal,normal,free,issue,yes,y,1
1631,2277,763,758,9,AMD,GOI,adverse,congested,issue,issue,no,y,0
1632,377,129,139,9,BOM,PNQ,adverse,congested,free,free,no,y,1
1633,507,1175,1170,5,CCU,MAA,adverse,congested,issue,free,yes,y,0
1634,2098,454,454,12,GOI,CCU,adverse,normal,free,issue,yes,y,1
1635,346,550,545,2,AMD,GOI,normal,normal,free,free,no,y,0
1636,245,1341,1326,4,GOI,DEL,normal,normal,free,issue,yes,y,1
1637,943,1734,1739,1,HYD,DEL,adverse,congested,issue,free,no,y,0
1638,1842,518,503,6,DEL,MAA,normal,normal,free,free,yes,y,1
1639,1990,968,963,7,BLR,GOI,adverse,congested,issue,issue,yes,y,0
1640,1056,662,662,12,CCU,PNQ,adverse,normal,issue,free,yes,y,1
1641,2212,1199,1194,11,BOM,HYD,normal,congested,free,free,no,y,0
1642,1166,220,220,4,CCU,AMD,normal,congested,issue,free,yes,y,1
1643,1959,968,953,2,HYD,PNQ,adverse,congested,free,free,no,y,0
1644,2141,855,870,3,CCU,MAA,adverse,congested,free,free,yes,y,1
1645,1901,279,284,4,PNQ,GOI,normal,congested,issue,free,no,y,0
1646,1464,454,469,12,HYD,CJB,normal,congested,free,issue,no,y,1
1647,519,2277,2287,12,GOI,CJB,adverse,congested,free,issue,yes,y,0
1648,925,912,917,2,HYD,BOM,adverse,normal,free,free,no,y,1
1649,700,1690,1690,1,GOI,BLR,normal,normal,free,free,no,y,0
1650,827,382,382,2,CCU,DEL,normal,normal,free,free,yes,y,1
1651,1743,129,124,11,CJB,BOM,normal,congested,free,free,no,y,0
1652,934,1987,1982,2,DEL,BOM,normal,congested,issue,free,yes,y,1
1653,1302,616,621,3,BLR,DEL,normal,normal,free,free,yes,y,0
1654,2348,1426,1431,10,MAA,CJB,normal,congested,free,issue,yes,y,1
1655,1347,990,990,3,BOM,CCU,normal,congested,free,issue,yes,y,0
1656,1230,1183,1183,4,AMD,BLR,normal,congested,free,free,no,y,1
1657,1170,1189,1199,3,PNQ,CJB,adverse,congested,issue,free,yes,y,0
1658,1134,1639,1649,8,HYD,GOI,adverse,normal,issue,free,yes,y,1
1659,194,2340,2335,10,HYD,BLR,normal,normal,issue,issue,yes,y,0
1660,2296,1104,1109,2,DEL,MAA,adverse,normal,free,issue,yes,y,1
1661,2266,105,120,4,CCU,HYD,adverse,congested,issue,free,yes,y,0
1662,782,1356,1361,9,MAA,BOM,adverse,normal,free,free,yes,y,1
1663,391,1617,1612,6,GOI,AMD,adverse,congested,free,free,no,y,0
1664,2292,1624,1619,8,BLR,DEL,normal,congested,free,free,yes,y,1
1665,1786,1977,2007,3,BLR,CJB,adverse,normal,issue,free,no,y,0
1666,2062,2012,2042,11,CJB,BOM,adverse,normal,issue,issue,no,y,1
1667,894,1183,1193,12,MAA,BLR,normal,normal,free,issue,yes,y,0
1668,1025,1755,1765,11,CJB,GOI,normal,normal,free,free,yes,y,1
1669,585,688,683,9,GOI,DEL,normal,normal,issue,free,no,y,0
1670,933,2293,2293,11,BOM,HYD,adverse,congested,issue,issue,yes,y,1
1671,289,2308,2293,8,AMD,BOM,adverse,congested,free,issue,no,y,0
1672,2046,1676,1676,10,BLR,CCU,normal,normal,free,issue,yes,y,1
1673,890,391,386,5,BLR,HYD,adverse,normal,free,free,yes,y,0
1674,1513,311,321,7,GOI,PNQ,normal,normal,free,free,yes,y,1
1675,2319,470,485,9,PNQ,BOM,normal,congested,free,issue,yes,y,0
1676,541,2036,2051,7,MAA,CJB,adverse,normal,free,free,yes,y,1
1677,631,688,688,9,BOM,CCU,adverse,normal,free,issue,no,y,0
1678,471,481,481,8,PNQ,BOM,adverse,normal,issue,issue,no,y,1
1679,2282,1613,1598,2,MAA,DEL,normal,congested,issue,issue,yes,y,0
1680,1075,238,233,12,HYD,CJB,normal,congested,free,free,yes,y,1
1681,1250,1444,1439,11,DEL,GOI,adverse,normal,free,free,no,y,0
1682,1305,2159,2169,2,CCU,BLR,normal,normal,issue,issue,yes,y,1
1683,1930,846,876,12,HYD,BLR,adverse,congested,free,issue,no,y,0
1684,1263,297,282,11,BOM,DEL,adverse,normal,free,issue,yes,y,1
1685,1839,1171,1166,2,BLR,AMD,adverse,normal,issue,free,yes,y,0
1686,1589,781,791,11,BLR,GOI,adverse,congested,free,free,no,y,1
1687,2309,1813,1798,5,DEL,CCU,normal,congested,issue,free,no,y,0
1688,1971,2129,2134,6,PNQ,MAA,adverse,normal,free,issue,yes,y,1
1689,960,1114,1144,12,MAA,PNQ,adverse,normal,free,issue,yes,y,0
1690,634,1531,1546,4,MAA,CJB,adverse,congested,issue,issue,yes,y,1
1691,919,1733,1738,6,MAA,BLR,adverse,congested,issue,issue,yes,y,0
1692,637,688,693,10,CCU,DEL,adverse,congested,issue,free,no,y,1
1693,1550,765,775,12,AMD,MAA,normal,congested,issue,issue,no,y,0
1694,2240,220,225,9,AMD,DEL,adverse,congested,free,issue,yes,y,1
1695,2189,1426,1411,1,HYD,CCU,normal,normal,issue,free,yes,y,0
1696,427,190,175,3,BLR,CCU,adverse,congested,free,issue,no,y,1
1697,2096,930,915,11,DEL,AMD,normal,congested,issue,free,no,y,0
1698,1364,1067,1072,3,BOM,DEL,normal,congested,issue,issue,no,y,1
1699,1026,1313,1323,4,GOI,PNQ,adverse,congested,free,issue,no,y,0
1700,1993,337,367,5,CJB,GOI,adverse,normal,issue,issue,no,y,1
